url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,128,78
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,40,31
/PetervanLunteren/AddaxAI/releases,18,11
/PetervanLunteren/AddaxAI/issues,17,10
/PetervanLunteren/AddaxAI/tree/main/model_info,16,11
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,15,13
/PetervanLunteren/AddaxAI/blob/main/classification_utils/model_types/deepfaune/classify_detections.py,15,3
/PetervanLunteren/AddaxAI/tree/main/install_files/linux,15,3
/PetervanLunteren/AddaxAI/blob/main/install_files/macos/grant-access.md,13,9
/PetervanLunteren/AddaxAI/tree/main/install_files,13,8
