url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,116,61
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,33,25
/PetervanLunteren/AddaxAI/blob/main/previous_versions/v4.3/install.command,21,2
/PetervanLunteren/AddaxAI/issues,12,9
/PetervanLunteren/AddaxAI/tree/main/previous_versions/v4.3,12,2
/PetervanLunteren/AddaxAI/blob/main/README.md,10,8
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,10,8
/PetervanLunteren/AddaxAI/tree/main/previous_versions,8,1
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/disable-anti-virus.md,7,7
/PetervanLunteren/AddaxAI/tree/main,7,6
