url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,145,78
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,51,28
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,20,15
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/disable-anti-virus.md,19,12
/PetervanLunteren/AddaxAI/releases,18,11
/PetervanLunteren/AddaxAI/blob/main/README.md,16,12
/PetervanLunteren/AddaxAI/tree/main/model_info,15,5
/PetervanLunteren/AddaxAI/blob/main/model_info/model_info_v5.json,14,5
/PetervanLunteren/AddaxAI/tree/main/classification_utils,12,6
/PetervanLunteren/AddaxAI/tree/main/classification_utils/model_types,12,5
