time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-28 00:00:00+00:00,4,4,40,10
2026-03-29 00:00:00+00:00,9,5,31,9
2026-03-30 00:00:00+00:00,93,18,52,19
2026-03-31 00:00:00+00:00,19,13,16,13
2026-04-01 00:00:00+00:00,51,29,59,15
2026-04-02 00:00:00+00:00,9,9,58,29
2026-04-03 00:00:00+00:00,16,9,9,6
2026-04-04 00:00:00+00:00,28,20,17,9
2026-04-05 00:00:00+00:00,8,7,16,11
2026-04-06 00:00:00+00:00,13,8,10,6
2026-04-07 00:00:00+00:00,24,10,39,15
2026-04-08 00:00:00+00:00,22,9,37,16
2026-04-09 00:00:00+00:00,21,10,61,21
2026-04-10 00:00:00+00:00,14,10,51,12
