referrer,views_total,views_unique
Google,44,24
github.com,28,6
addaxdatascience.com,13,10
Bing,11,6
Baidu,6,2
search.nortonsafesearch.com,4,1
DuckDuckGo,3,3
forum.addaxai.com,3,2
