referrer,views_total,views_unique
github.com,124,18
Google,112,40
addaxdatascience.com,59,28
Bing,41,6
DuckDuckGo,24,5
forum.addaxai.com,13,5
wildlabs.net,5,3
chatgpt.com,3,2
addaxdatascience-com.translate.goog,2,1
copilot.microsoft.com,2,1
